Addo Elephant National Park           
Agulhas National Park
Ai-Ais/Richtersveld Transfrontier Park
Augrabies Falls National Park
Bontebok National Park
Camdeboo National Park          
Golden Gate Highlands National Park
Hluhluwe–Imfolozi Park         
Karoo National Park                   
Kgalagadi Transfrontier Park          
Knysna National Lake Area            
Kruger National Park                
Mapungubwe National Park             
Marakele National Park                
Mokala National Park                  
Mountain Zebra National Park          
Namaqua National Park                
Table Mountain National Park          
Tankwa Karoo National Park          
Tsitsikamma National Park            
West Coast National Park             
Wilderness National Park
