"","set_num","part_num","color_id","quantity","name_set","year","theme_id","name_theme","parent_id"
"1","7787-1","3873",0,158,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"2","70904-1","6141",84,81,"Clayface Splat Attack",2017,484,"Batman",482
"3","70904-1","4032a",84,67,"Clayface Splat Attack",2017,484,"Batman",482
"4","77903-1","3023",46,46,"The Dark Knight of Gotham City",2019,484,"Batman",482
"5","7787-1","6558",0,44,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"6","70904-1","11477",84,41,"Clayface Splat Attack",2017,484,"Batman",482
"7","76054-1","6141",179,31,"Batman: Scarecrow Harvest of Fear",2016,484,"Batman",482
"8","7787-1","2723",0,28,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"9","77903-1","3023",72,28,"The Dark Knight of Gotham City",2019,484,"Batman",482
"10","76035-1","98138",34,26,"Jokerland",2015,484,"Batman",482
"11","7787-1","54200",0,22,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"12","70916-1","3023",0,22,"The Batwing",2017,484,"Batman",482
"13","70916-1","3024",0,22,"The Batwing",2017,484,"Batman",482
"14","76013-1","3023",46,20,"The Joker Steam Roller",2014,484,"Batman",482
"15","7787-1","4274",1,20,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"16","70916-1","3623",0,20,"The Batwing",2017,484,"Batman",482
"17","7787-1","2431",0,19,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"18","70923-1","6141",179,19,"The Bat-Space Shuttle",2018,484,"Batman",482
"19","7787-1","4519",71,18,"The Bat-Tank: The Riddler and Bane's Hideout",2007,484,"Batman",482
"20","70916-1","11477",0,18,"The Batwing",2017,484,"Batman",482
"21","70916-1","99207",71,18,"The Batwing",2017,484,"Batman",482
"22","77903-1","98283",72,18,"The Dark Knight of Gotham City",2019,484,"Batman",482
"23","76035-1","3023",14,17,"Jokerland",2015,484,"Batman",482
"24","70916-1","2780",0,17,"The Batwing",2017,484,"Batman",482
"25","77903-1","3024",72,17,"The Dark Knight of Gotham City",2019,484,"Batman",482
"26","7781-1","54200",0,16,"The Batmobile: Two-Face's Escape",2006,484,"Batman",482
"27","70904-1","60478",84,16,"Clayface Splat Attack",2017,484,"Batman",482
"28","70916-1","3666",0,16,"The Batwing",2017,484,"Batman",482
"29","70923-1","6259",0,16,"The Bat-Space Shuttle",2018,484,"Batman",482
"30","77903-1","3070b",72,16,"The Dark Knight of Gotham City",2019,484,"Batman",482
"31","76035-1","2780",0,15,"Jokerland",2015,484,"Batman",482
"32","7885-1","3660",15,14,"Robin's Scuba Jet: Attack of The Penguin",2008,484,"Batman",482
"33","6857-1","6141",85,14,"The Dynamic Duo Funhouse Escape",2012,484,"Batman",482
"34","76035-1","6141",35,14,"Jokerland",2015,484,"Batman",482
"35","70916-1","22385",0,14,"The Batwing",2017,484,"Batman",482
"36","70916-1","3710",0,14,"The Batwing",2017,484,"Batman",482
"37","70923-1","3068b",72,14,"The Bat-Space Shuttle",2018,484,"Batman",482
"38","70916-1","99563",0,13,"The Batwing",2017,484,"Batman",482
"39","76013-1","3062b",71,12,"The Joker Steam Roller",2014,484,"Batman",482
"40","6857-1","3003",70,12,"The Dynamic Duo Funhouse Escape",2012,484,"Batman",482
"41","76035-1","11477",0,12,"Jokerland",2015,484,"Batman",482
"42","70904-1","3023",70,12,"Clayface Splat Attack",2017,484,"Batman",482
"43","70916-1","10247",72,12,"The Batwing",2017,484,"Batman",482
"44","70916-1","2877",72,12,"The Batwing",2017,484,"Batman",482
"45","70916-1","61409",72,12,"The Batwing",2017,484,"Batman",482
"46","70916-1","6141",4,12,"The Batwing",2017,484,"Batman",482
"47","76120-1","6141",179,12,"Batman Batwing and The Riddler Heist",2019,484,"Batman",482
"48","77903-1","3022",72,12,"The Dark Knight of Gotham City",2019,484,"Batman",482
"49","76054-1","2780",0,11,"Batman: Scarecrow Harvest of Fear",2016,484,"Batman",482
"50","76035-1","11477",85,11,"Jokerland",2015,484,"Batman",482
"51","70904-1","3020",70,11,"Clayface Splat Attack",2017,484,"Batman",482
"52","70923-1","3023",46,11,"The Bat-Space Shuttle",2018,484,"Batman",482
"53","77903-1","4070",72,11,"The Dark Knight of Gotham City",2019,484,"Batman",482
"54","76013-1","32028",14,10,"The Joker Steam Roller",2014,484,"Batman",482
"55","76013-1","54200",46,10,"The Joker Steam Roller",2014,484,"Batman",482
