"","set_num","part_num","color_id","quantity","name_set","year","theme_id","name_theme","parent_id"
"1","7194-1","2357",19,84,"Yoda",2002,158,"Star Wars",NA
"2","7194-1","3001",19,73,"Yoda",2002,158,"Star Wars",NA
"3","7194-1","2420",378,72,"Yoda",2002,158,"Star Wars",NA
"4","75244-1","2780",0,64,"Tantive IV",2019,158,"Star Wars",NA
"5","7194-1","3002",19,57,"Yoda",2002,158,"Star Wars",NA
"6","7194-1","3004",19,55,"Yoda",2002,158,"Star Wars",NA
"7","7194-1","3010",19,54,"Yoda",2002,158,"Star Wars",NA
"8","8001-1","32062",0,54,"Battle Droid",2000,158,"Star Wars",NA
"9","75094-1","2780",0,52,"Imperial Shuttle Tydirium",2015,158,"Star Wars",NA
"10","75244-1","15068",15,49,"Tantive IV",2019,158,"Star Wars",NA
"11","7194-1","3023",378,46,"Yoda",2002,158,"Star Wars",NA
"12","7194-1","3622",19,46,"Yoda",2002,158,"Star Wars",NA
"13","75043-1","4274",1,44,"AT-AP",2014,158,"Star Wars",NA
"14","7194-1","3009",19,42,"Yoda",2002,158,"Star Wars",NA
"15","75043-1","2780",0,42,"AT-AP",2014,158,"Star Wars",NA
"16","75094-1","6541",15,40,"Imperial Shuttle Tydirium",2015,158,"Star Wars",NA
"17","75104-1","2780",0,40,"Kylo Ren's Command Shuttle",2015,158,"Star Wars",NA
"18","8010-1","32062",0,35,"Darth Vader™",2002,158,"Star Wars",NA
"19","75253-1","2780",0,35,"Droid Commander",2019,158,"Star Wars",NA
"20","7194-1","3024",378,33,"Yoda",2002,158,"Star Wars",NA
"21","75244-1","3020",71,33,"Tantive IV",2019,158,"Star Wars",NA
"22","8007-1","32062",0,32,"C-3PO™",2001,158,"Star Wars",NA
"23","8010-1","4519",0,31,"Darth Vader™",2002,158,"Star Wars",NA
"24","8001-1","32123a",7,31,"Battle Droid",2000,158,"Star Wars",NA
"25","75043-1","6558",1,30,"AT-AP",2014,158,"Star Wars",NA
"26","75244-1","3023",320,30,"Tantive IV",2019,158,"Star Wars",NA
"27","75244-1","99563",71,29,"Tantive IV",2019,158,"Star Wars",NA
"28","75244-1","3004",15,28,"Tantive IV",2019,158,"Star Wars",NA
"29","75094-1","6558",1,27,"Imperial Shuttle Tydirium",2015,158,"Star Wars",NA
"30","7194-1","3003",19,27,"Yoda",2002,158,"Star Wars",NA
"31","75201-1","2780",0,27,"First Order AT-ST",2018,158,"Star Wars",NA
"32","75244-1","15672",15,27,"Tantive IV",2019,158,"Star Wars",NA
"33","7194-1","3794a",378,26,"Yoda",2002,158,"Star Wars",NA
"34","75104-1","3023",36,26,"Kylo Ren's Command Shuttle",2015,158,"Star Wars",NA
"35","75244-1","3069b",15,26,"Tantive IV",2019,158,"Star Wars",NA
"36","8001-1","6632",19,25,"Battle Droid",2000,158,"Star Wars",NA
"37","7194-1","3021",378,24,"Yoda",2002,158,"Star Wars",NA
"38","7194-1","3623",378,24,"Yoda",2002,158,"Star Wars",NA
"39","75101-1","3069b",0,24,"First Order Special Forces TIE Fighter",2015,158,"Star Wars",NA
"40","75101-1","3069b",0,24,"First Order Special Forces TIE Fighter",2015,158,"Star Wars",NA
"41","7194-1","3020",378,23,"Yoda",2002,158,"Star Wars",NA
"42","75043-1","43093",1,23,"AT-AP",2014,158,"Star Wars",NA
"43","8007-1","4519",0,23,"C-3PO™",2001,158,"Star Wars",NA
